point,mean_ltime,mean_x_proj,mean_y_proj,mean_latitude,mean_longitude,n,date
2019-07-08T11:45:00Z,2019-07-08T11:45:00Z,371598.6567987768,9929281.820810255,-0.6396786728931879,-76.15390337538172,12,2019-07-08
2019-07-08T12:00:00Z,2019-07-08T12:00:00Z,371622.08935757144,9929258.053068193,-0.6398937106167185,-76.15369287086561,12,2019-07-08
2019-07-08T12:15:00Z,2019-07-08T12:15:00Z,371621.3955648195,9929315.115552405,-0.6393775530178065,-76.15369898964806,12,2019-07-08
2019-07-08T12:30:00Z,2019-07-08T12:30:00Z,371708.7276678572,9929301.633996854,-0.6394996773334692,-76.15291429682416,12,2019-07-08
2019-07-08T12:45:00Z,2019-07-08T12:45:00Z,371709.22205424425,9929270.548350794,-0.6397808622586071,-76.15290991728259,12,2019-07-08
2019-07-08T13:00:00Z,2019-07-08T13:00:00Z,371716.197589664,9929282.986226993,-0.6396683701418963,-76.15284721369022,12,2019-07-08
2019-07-08T13:15:00Z,2019-07-08T13:15:00Z,371809.91445580864,9929368.357168593,-0.6388963409667123,-76.1520049511404,12,2019-07-08
2019-07-08T13:30:00Z,2019-07-08T13:30:00Z,371827.08870560594,9929388.691540882,-0.6387124420083401,-76.15185059140727,12,2019-07-08
2019-07-08T13:45:00Z,2019-07-08T13:45:00Z,371828.9718171616,9929390.578450352,-0.6386953778583019,-76.15183366695743,12,2019-07-08
2019-07-08T14:00:00Z,2019-07-08T14:00:00Z,371803.5851515115,9929417.192094538,-0.6384545937000325,-76.15206172457415,12,2019-07-08
2019-07-08T15:30:00Z,2019-07-08T15:30:00Z,371614.099804136,9929416.657707242,-0.6384590431166685,-76.15376434057399,12,2019-07-08
2019-07-08T15:45:00Z,2019-07-08T15:45:00Z,371583.0015818151,9929378.755680753,-0.6388018210516817,-76.1540438490911,12,2019-07-08
2019-07-08T16:00:00Z,2019-07-08T16:00:01Z,371586.74083148106,9929433.440786771,-0.6383071769826398,-76.15401013987396,12,2019-07-08
2019-07-08T16:15:00Z,2019-07-08T16:15:00Z,371568.8242903654,9929464.644542674,-0.6380248884572303,-76.15417106543131,12,2019-07-08
2019-07-08T16:30:00Z,2019-07-08T16:30:00Z,371567.9878270421,9929489.027408268,-0.6378043326590223,-76.15417853229995,12,2019-07-08
2019-07-08T16:45:00Z,2019-07-08T16:45:00Z,371578.99839294143,9929499.096303388,-0.6377132772584084,-76.1540795769572,12,2019-07-08
2019-07-08T17:00:00Z,2019-07-08T17:00:00Z,371582.51139613066,9929515.88322213,-0.6375614390666885,-76.15404797717405,12,2019-07-08
2019-07-08T17:15:00Z,2019-07-08T17:15:00Z,371569.58353502955,9929514.215458406,-0.6375764985337885,-76.1541641433738,12,2019-07-08
2019-07-08T17:30:00Z,2019-07-08T17:30:00Z,371556.96433766256,9929550.463657636,-0.6372485915174857,-76.15427745971586,12,2019-07-08
2019-07-08T17:45:00Z,2019-07-08T17:45:00Z,371532.671504069,9929566.147046294,-0.6371066789084516,-76.15449571049906,12,2019-07-08
2019-07-08T18:00:00Z,2019-07-08T18:00:00Z,371525.67543322477,9929558.54083017,-0.6371754664001025,-76.15455858874891,12,2019-07-08
2019-07-08T18:15:00Z,2019-07-08T18:15:00Z,371534.8727074996,9929525.748236755,-0.6374721089251761,-76.1544760130324,12,2019-07-08
2019-07-08T18:30:00Z,2019-07-08T18:30:00Z,371503.280955305,9929518.517197875,-0.6375374528667823,-76.154759894124,12,2019-07-08
2019-07-08T18:45:00Z,2019-07-08T18:45:00Z,371517.614240646,9929523.830073735,-0.6374894245750371,-76.1546310922157,12,2019-07-08
2019-07-08T19:00:00Z,2019-07-08T19:00:00Z,371519.8951170557,9929530.275387645,-0.6374311284167582,-76.15461058449903,12,2019-07-08
2019-07-08T19:15:00Z,2019-07-08T19:15:00Z,371522.6186017917,9929528.494528694,-0.6374472426166723,-76.15458611631571,12,2019-07-08
2019-07-08T19:30:00Z,2019-07-08T19:30:00Z,371519.7325172778,9929523.939431254,-0.637488439683391,-76.15461205829907,12,2019-07-08
2019-07-08T19:45:00Z,2019-07-08T19:45:00Z,371517.1866118148,9929524.202954369,-0.6374860508333754,-76.15463493390737,12,2019-07-08
2019-07-08T20:00:00Z,2019-07-08T20:00:00Z,371542.06974931806,9929500.305015018,-0.6377022690061613,-76.15441139554036,12,2019-07-08
2019-07-08T20:15:00Z,2019-07-08T20:15:00Z,371627.69081319124,9929390.32866977,-0.6386972288588286,-76.15364227209915,12,2019-07-08
2019-07-08T20:30:00Z,2019-07-08T20:30:00Z,371649.33086802403,9929442.37298664,-0.6382265081753572,-76.15344772114932,12,2019-07-08
2019-07-08T20:45:00Z,2019-07-08T20:45:00Z,371652.55590101023,9929446.83240581,-0.6381861772338777,-76.15341873373234,12,2019-07-08
2019-07-08T21:00:00Z,2019-07-08T21:00:00Z,371664.81620541273,9929426.81272991,-0.638367289224962,-76.15330860949909,12,2019-07-08
2019-07-08T21:15:00Z,2019-07-08T21:15:00Z,371669.67163813557,9929430.014597742,-0.6383383367167429,-76.15326497470738,12,2019-07-08
2019-07-08T21:30:00Z,2019-07-08T21:30:00Z,371661.6187182094,9929438.178054258,-0.6382644781831637,-76.15333731751562,12,2019-07-08
2019-07-14T20:30:00Z,2019-07-14T20:29:53Z,371558.60362100374,9929506.113365792,-0.6376497633750297,-76.15426281932402,12,2019-07-14
2019-07-14T20:45:00Z,2019-07-14T20:44:53Z,371596.7597313504,9929435.499407582,-0.6382885761567451,-76.15392011123416,12,2019-07-14
2019-07-14T21:00:00Z,2019-07-14T20:59:53Z,371623.777655114,9929334.675964935,-0.6392006250084483,-76.15367754595728,12,2019-07-14
2019-07-14T21:15:00Z,2019-07-14T21:14:53Z,371649.38578340516,9929346.625365326,-0.6390925892583287,-76.1534474207908,12,2019-07-14
2019-07-14T21:30:00Z,2019-07-14T21:29:53Z,371709.6985952126,9929298.129189014,-0.639531381900001,-76.15290557965751,12,2019-07-14
2019-07-14T21:45:00Z,2019-07-14T21:44:54Z,371744.51114528644,9929311.191852212,-0.6394132948334228,-76.15259274609085,12,2019-07-14
2019-07-14T22:00:00Z,2019-07-14T21:59:53Z,371836.9099624152,9929398.513056003,-0.6386236217755398,-76.15176232298188,12,2019-07-14
2019-07-14T22:15:00Z,2019-07-14T22:14:53Z,371877.68677126156,9929402.94381741,-0.6385836261252015,-76.15139591508245,12,2019-07-14
2019-07-14T22:30:00Z,2019-07-14T22:29:53Z,371896.2564987508,9929415.80435534,-0.6384673342167115,-76.15122903137399,12,2019-07-14
2019-07-14T22:45:00Z,2019-07-14T22:44:53Z,371895.9614870207,9929417.554097274,-0.6384515063916882,-76.15123167867405,12,2019-07-14
2019-07-14T23:00:00Z,2019-07-14T22:59:03Z,371893.121020908,9929413.116394877,-0.6384916417147214,-76.15125721054171,7,2019-07-14
2019-07-15T10:45:00Z,2019-07-15T10:44:55Z,371912.237083191,9929420.678207796,-0.6384232803250559,-76.1510854284159,12,2019-07-15
2019-07-15T11:00:00Z,2019-07-15T10:59:55Z,371909.9885004528,9929419.287740707,-0.6384358531917399,-76.15110563579897,12,2019-07-15
